init,resp,dist_ground_truth,count_sum,time_min,time_max,success_sum,success_mean,dist_mean,dist_std,dist_50,dist_75,dist_95,dist_99,dist_bias_mean,dist_bias_std,dist_bias_50,dist_bias_75,dist_bias_95,dist_bias_99,err_mean,err_std,err_50,err_75,err_95,err_99,err_bias_mean,err_bias_std,err_bias_50,err_bias_75,err_bias_95,err_bias_99,fp_pwr_mean,fp_pwr_std,rx_pwr_mean,rx_pwr_std,freq_offset_mean,freq_offset_std
11.0,8.0,21.09,117.0,4.74,120.73,96.0,0.821,21.213,0.024,21.21,21.23,21.25,21.26,21.143,0.024,21.14,21.16,21.18,21.19,0.123,0.024,0.12,0.14,0.16,0.17,0.053,0.024,0.05,0.07,0.09,0.1,-99.271,0.483,-94.916,0.504,2.11,0.114
11.0,9.0,13.09,117.0,4.74,120.74,117.0,1.0,13.799,0.022,13.8,13.81,13.84,13.848,13.749,0.022,13.75,13.76,13.79,13.798,0.709,0.022,0.71,0.72,0.75,0.758,0.659,0.022,0.66,0.67,0.7,0.708,-96.136,0.53,-90.512,0.406,0.244,0.597
11.0,10.0,7.4,117.0,4.74,120.74,117.0,1.0,7.712,0.022,7.71,7.73,7.75,7.76,7.682,0.021,7.68,7.7,7.71,7.72,0.312,0.022,0.31,0.33,0.35,0.36,0.282,0.021,0.28,0.3,0.31,0.32,-88.595,0.465,-80.69,0.238,0.1,0.469
11.0,12.0,7.31,117.0,4.74,120.75,117.0,1.0,7.418,0.023,7.42,7.43,7.46,7.47,7.388,0.023,7.39,7.4,7.43,7.44,0.108,0.023,0.11,0.12,0.15,0.16,0.078,0.023,0.08,0.09,0.12,0.13,-85.84,0.436,-81.62,0.226,1.576,0.482
11.0,13.0,14.72,117.0,4.75,120.75,117.0,1.0,14.793,0.025,14.79,14.81,14.84,14.85,14.733,0.025,14.73,14.75,14.78,14.79,0.073,0.025,0.07,0.09,0.12,0.13,0.022,0.017,0.02,0.03,0.06,0.07,-97.043,0.483,-87.471,0.263,1.492,0.09
11.0,14.0,21.91,117.0,4.75,120.75,116.0,0.991,22.021,0.031,22.02,22.04,22.07,22.09,21.941,0.031,21.94,21.96,21.99,22.01,0.111,0.031,0.11,0.13,0.16,0.18,0.036,0.026,0.03,0.05,0.08,0.1,-93.479,0.342,-91.51,0.33,-0.822,0.118
,,14.253,117.0,4.743,120.743,113.333,0.969,14.493,0.025,14.492,14.508,14.535,14.546,14.439,0.024,14.438,14.455,14.48,14.491,0.239,0.025,0.238,0.255,0.282,0.293,0.188,0.022,0.187,0.202,0.227,0.238,-93.394,0.456,-87.787,0.328,0.783,0.312
