time	dest	src	seqn
07:05.630	1	3	13
07:06.499	1	8	13
07:06.674	1	9	13
07:32.474	1	2	14
07:35.758	1	5	14
07:35.920	1	8	14
07:37.029	1	10	14
07:37.739	1	3	14
07:38.718	1	7	14
07:39.895	1	6	14
07:43.158	1	9	14
07:43.790	1	4	14
08:01.701	1	2	15
08:01.954	1	4	15
08:01.960	1	8	15
08:01.997	1	6	15
08:02.568	1	10	15
08:08.891	1	5	15
08:08.934	1	3	15
08:09.165	1	9	15
08:15.383	1	7	15
08:30.731	1	6	16
08:32.319	1	8	16
08:33.837	1	9	16
08:37.928	1	10	16
08:40.492	1	7	16
08:42.186	1	2	16
08:43.731	1	3	16
08:44.063	1	4	16
08:45.313	1	5	16
09:00.389	1	8	17
09:02.352	1	5	17
09:03.193	1	2	17
09:03.498	1	10	17
09:04.252	1	9	17
09:05.114	1	6	17
09:06.687	1	7	17
09:07.083	1	3	17
09:11.759	1	4	17
09:32.865	1	2	18
09:33.036	1	6	18
09:35.545	1	10	18
09:36.318	1	3	18
09:40.436	1	8	18
09:40.555	1	4	18
09:43.484	1	7	18
09:43.711	1	5	18
09:43.861	1	9	18
10:01.950	1	3	19
10:04.325	1	6	19
10:05.279	1	2	19
10:05.806	1	9	19
10:08.782	1	5	19
10:09.163	1	8	19
10:11.836	1	7	19
10:12.407	1	4	19
10:12.772	1	10	19
10:30.647	1	8	20
10:31.256	1	10	20
10:32.372	1	3	20
10:34.185	1	6	20
10:36.070	1	7	20
10:37.103	1	9	20
10:37.642	1	4	20
10:40.889	1	2	20
10:43.828	1	5	20
11:00.834	1	2	21
11:01.205	1	9	21
11:04.155	1	8	21
11:07.505	1	6	21
11:08.703	1	7	21
11:09.555	1	5	21
11:11.264	1	10	21
11:12.774	1	4	21
11:14.911	1	3	21
11:31.051	1	6	22
11:34.131	1	2	22
11:36.040	1	5	22
11:36.741	1	8	22
11:40.196	1	4	22
11:41.124	1	7	22
11:41.935	1	10	22
11:45.271	1	3	22
11:45.939	1	9	22
12:01.322	1	9	23
12:02.028	1	6	23
12:03.841	1	3	23
12:08.374	1	8	23
12:08.547	1	5	23
12:09.232	1	2	23
12:09.350	1	10	23
12:13.664	1	7	23
12:14.235	1	4	23
12:32.244	1	9	24
12:33.219	1	5	24
12:33.888	1	3	24
12:34.335	1	8	24
12:36.023	1	7	24
12:37.959	1	10	24
12:40.013	1	6	24
12:40.595	1	4	24
12:40.967	1	2	24
13:01.533	1	9	25
13:01.665	1	4	25
13:02.904	1	10	25
13:06.349	1	2	25
13:09.133	1	5	25
13:12.092	1	8	25
13:12.114	1	3	25
13:12.593	1	7	25
13:13.770	1	6	25
13:32.743	1	5	26
13:34.942	1	6	26
13:35.640	1	7	26
13:36.429	1	8	26
13:37.271	1	2	26
13:42.599	1	3	26
13:44.201	1	10	26
13:44.712	1	4	26
13:45.392	1	9	26
14:01.606	1	3	27
14:02.303	1	10	27
14:03.561	1	2	27
14:08.106	1	6	27
14:09.311	1	8	27
14:11.188	1	5	27
14:13.438	1	4	27
14:14.867	1	7	27
14:15.712	1	9	27
14:32.923	1	4	28
14:34.037	1	10	28
14:36.233	1	8	28
14:38.351	1	7	28
14:38.485	1	5	28
14:39.420	1	2	28
14:42.259	1	9	28
14:43.216	1	6	28
14:43.278	1	3	28
