time	dest	src	seqn	hops
12:05.034	1	8	23	3
12:05.784	1	7	23	1
12:07.535	1	10	23	1
12:08.535	1	6	23	1
12:08.910	1	3	23	2
12:09.158	1	5	23	1
12:09.283	1	2	23	1
12:13.034	1	4	23	2
12:16.159	1	9	23	2
12:31.409	1	4	24	2
12:31.783	1	7	24	1
12:32.036	1	3	24	2
12:32.159	1	9	24	2
12:32.785	1	5	24	1
12:38.536	1	8	24	3
12:39.536	1	6	24	1
12:40.285	1	10	24	1
12:45.283	1	2	24	1
13:02.909	1	9	25	2
13:03.659	1	3	25	3
13:04.032	1	2	25	1
13:06.410	1	7	25	1
13:09.660	1	8	25	3
13:10.409	1	4	25	2
13:11.285	1	5	25	1
13:15.286	1	6	25	1
13:15.410	1	10	25	1
13:34.535	1	7	26	1
13:35.909	1	6	26	1
13:38.534	1	5	26	1
13:40.409	1	10	26	1
13:41.911	1	2	26	1
13:42.410	1	8	26	3
13:42.534	1	9	26	2
13:42.909	1	3	26	3
13:45.659	1	4	26	2
14:03.783	1	7	27	1
14:03.911	1	8	27	3
14:06.035	1	3	27	3
14:07.659	1	2	27	1
14:08.411	1	9	27	2
14:10.784	1	4	27	2
14:13.909	1	10	27	1
14:31.909	1	4	28	2
14:35.909	1	6	28	1
14:37.160	1	2	28	1
14:38.535	1	3	28	3
14:41.783	1	5	28	1
14:43.158	1	9	28	2
14:44.783	1	7	28	1
14:44.910	1	8	28	3
14:45.784	1	10	28	1
15:02.782	1	4	29	2
15:04.908	1	2	29	1
15:06.285	1	10	29	1
15:06.909	1	7	29	1
15:07.036	1	8	29	3
