time	dest	src	seqn
13:14.647	1	6	25
13:14.726	1	10	25
13:34.446	1	7	26
13:35.818	1	6	26
13:38.486	1	5	26
13:40.335	1	10	26
13:41.796	1	2	26
13:42.094	1	8	26
13:42.333	1	9	26
13:42.694	1	3	26
13:45.495	1	4	26
14:02.088	1	5	27
14:02.482	1	6	27
14:02.695	1	8	27
14:03.578	1	7	27
14:05.826	1	3	27
14:07.616	1	2	27
14:08.221	1	9	27
14:10.596	1	4	27
14:13.780	1	10	27
14:31.666	1	4	28
14:35.787	1	6	28
14:37.100	1	2	28
14:38.303	1	3	28
14:41.704	1	5	28
14:42.980	1	9	28
14:44.265	1	8	28
14:44.399	1	7	28
14:45.679	1	10	28
15:02.330	1	4	29
15:04.827	1	2	29
15:06.249	1	10	29
15:06.429	1	8	29
15:06.469	1	7	29
